"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Items Pictures should match each item","firefox","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1362","Add to cart from item detail page should reliably update the cart","chromium","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","857","First Name missing","chromium","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","945","Badge displays 2 after adding 2 items","chromium","2026-07-16","passed","2026-07-16","Badge panier","badge.spec.ts","",""
"","2144","Badge displays 1 after adding 1 item","webkit","2026-07-16","passed","2026-07-16","Badge panier","badge.spec.ts","",""
"","1724","Lowest to Highest price","webkit","2026-07-16","passed","2026-07-16","Sorting List","example.spec.ts","",""
"","4624","About button","firefox","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","6861","All 6 products should be addable to cart","chromium","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","1505","3 known-working products can be added to cart","webkit","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","1549","Last Name missing","firefox","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","579","create a reservation","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","7219","All 6 products should be addable to cart","firefox","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","0","About button","chromium","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","4519","Badge displays 2 after adding 2 items","firefox","2026-07-16","passed","2026-07-16","Badge panier","badge.spec.ts","",""
"","763","Modify a reservation (PUT)","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","280","GET a non-existent booking should return 404","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","286","DELETE with an invalid token should fail","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","3298","Cancelling checkout","webkit","2026-07-16","passed","2026-07-16","Checkout","Checkout.spec.ts","",""
"","3","First Name and Last Name fields should not overwrite each other","chromium","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","923","Last Name missing","chromium","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","2178","About button","webkit","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","3445","Order Completed","webkit","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","2517","First Name and Last Name fields should not overwrite each other","webkit","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","6842","All 6 products should be addable to cart","webkit","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","1322","Cancelling checkout","chromium","2026-07-16","passed","2026-07-16","Checkout","Checkout.spec.ts","",""
"","2458","should return to product list","firefox","2026-07-16","passed","2026-07-16","Item Detail Page","example.spec.ts","",""
"","0","Add to cart from item detail page should reliably update the cart","firefox","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","3102","About button","firefox","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","934","Postal Code missing","chromium","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","2077","Badge displays 2 after adding 2 items","webkit","2026-07-16","passed","2026-07-16","Badge panier","badge.spec.ts","",""
"","2790","Logout","firefox","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","1259","Checking total price","chromium","2026-07-16","passed","2026-07-16","Checkout","Checkout.spec.ts","",""
"","1012","Go back to Shopping items list","chromium","2026-07-16","passed","2026-07-16","Continue Shopping","Checkout.spec.ts","",""
"","1993","Lowest to Highest price should work correctly","firefox","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","2684","All items button","firefox","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","925","Go back to Shopping items list","chromium","2026-07-16","passed","2026-07-16","Continue Shopping","example.spec.ts","",""
"","1646","Inverted Alphabetical order listing","webkit","2026-07-16","passed","2026-07-16","Sorting List","example.spec.ts","",""
"","1814","Logout","chromium","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","1270","login failed","firefox","2026-07-16","passed","2026-07-16","Login","login.spec.ts","",""
"","641","Item description should match the right item","chromium","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","3953","Checking total price","firefox","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","1025","Items Pictures should match each item","chromium","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","0","Items Pictures should match each item","webkit","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","0","3 known-working products can be added to cart","webkit","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1","Items Pictures should match each item","chromium","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","800","Modify a part of a reservation (PATCH)","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","2224","should display cart badge with count 3 after adding 3 products","webkit","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","606","should display cart badge with count 1 after adding one product","chromium","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","1696","Is Reset App state working properly","chromium","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","665","should show item detail page","chromium","2026-07-16","passed","2026-07-16","Item Detail Page","example.spec.ts","",""
"","3739","Cancelling checkout","firefox","2026-07-16","passed","2026-07-16","Checkout","Checkout.spec.ts","",""
"","1118","Canceling checkout","chromium","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","0","Lowest to Highest price should work correctly","webkit","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1058","Last name missing","chromium","2026-07-16","passed","2026-07-16","Checkout","Checkout.spec.ts","",""
"","578","DELETE without a token should fail","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","0","All 6 products should be addable to cart","webkit","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","0","All 6 products should be addable to cart","chromium","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1257","Postal Code missing","firefox","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","6824","Remove button should work properly","firefox","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
"","1","Lowest to Highest price should work correctly","chromium","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1559","Go back to Shopping items list","firefox","2026-07-16","passed","2026-07-16","Continue Shopping","example.spec.ts","",""
"","785","should delete cart badge with no more badge displayed on the cart","chromium","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","3265","About button","webkit","2026-07-16","passed","2026-07-16","Hamburger button","example.spec.ts","",""
"","0","About button","firefox","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","1158","Checking total price","chromium","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","2543","Alphabetical order listing","webkit","2026-07-16","passed","2026-07-16","Sorting List","example.spec.ts","",""
"","570","Modify a reservation (PUT) without BeforeEach","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","967","should delete cart badge with no more badge displayed on the cart","firefox","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","2327","Last Name missing","webkit","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","2360","Order Completed","firefox","2026-07-16","passed","2026-07-16","Checkout","example.spec.ts","",""
"","444","Authentification","webkit","2026-07-16","passed","2026-07-16","","auth.spec.ts","",""
"","613","login success","chromium","2026-07-16","passed","2026-07-16","Login","login.spec.ts","",""
"","836","should display cart badge with count 3 after adding 3 products","chromium","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","1636","should display cart badge with count 1 after adding one product","webkit","2026-07-16","passed","2026-07-16","Badge","example.spec.ts","",""
"","588","GET a specific booking","api","2026-07-16","passed","2026-07-16","","api\booking.spec.ts","",""
"","0","Remove button should work properly","webkit","2026-07-16","skipped","2026-07-16","Problem_user bugs","example.spec.ts","",""
"","2221","Items Pictures should match each item","firefox","2026-07-16","passed","2026-07-16","Problem_user bugs","problem-user.spec.ts","",""
